CHANNEL,SOLD_TO
RETAILCAPS,100039346
RETAILCAPS,156100785
GKA,156055681
RETAILCAPS,100028753
RETAILCAPS,100027058
WHOLESALES,156060659
RETAILCAPS,156062982
RETAILCAPS,100039594
GKA,100029426
WHOLESALES,156061823
WHOLESALES,156060815
RETAILCAPS,100063437
RETAILCAPS,100037766
RETAILCAPS,156059403
GKA,156052997
RETAILCAPS,100049975
RETAILCAPS,100050141
RETAILCAPS,156063861
RETAILCAPS,PL5888S039
RETAILCAPS,100043992
RETAILCAPS,156100532
LKA,156065624
GKA,156058241
RETAILCAPS,100064764
LKA,100106996
WHOLESALES,156062269
GKA,100059637
RETAILCAPS,100054708
WHOLESALES,156061566
GKA,156055257
RETAILCAPS,100055107
RETAILCAPS,PL5891S001
LKA,156054678
GKA,100110087
NEWCHANNEL,156053410
GKA,156066722
WHOLESALES,156052338
RETAILCAPS,100060671
RETAILCAPS,100044515
CS OTHERS,100033626
RETAILCAPS,100066086
CS OTHERS,100033909
RETAILCAPS,PL5907S016
GKA,100113293
RETAILCAPS,100046100
RETAILCAPS,100050408
RETAILCAPS,100046848
RETAILCAPS,100047794
RETAILCAPS,100064685
RETAILCAPS,100036926
WHOLESALES,156052103
GKA,156066384
CS OTHERS,100067367
LKA,156057208
CS OTHERS,100093612
RETAILCAPS,100062823
RETAILCAPS,100032563
NEWCHANNEL,156061643
RETAILCAPS,100041424
LKA,156059586
WHOLESALES,156064109
GKA,100073187
RETAILCAPS,100057176
CS OTHERS,156064921
RETAILCAPS,100035401
RETAILCAPS,100045429
CS OTHERS,100072655
RETAILCAPS,100041641
WHOLESALES,100026784
WHOLESALES,100105216
LKA,156053078
LKA,156056772
RETAILCAPS,156100157
RETAILCAPS,100065177
WHOLESALES,156061971
RETAILCAPS,100066469
WHOLESALES,156055155
CS OTHERS,156059264
GKA,156055288
RETAILCAPS,156059400
RETAILCAPS,100047425
RETAILCAPS,100063679
RETAILCAPS,100045370
CS OTHERS,100085560
RETAILCAPS,100057183
CS OXXO,156059867
WHOLESALES,156056386
RETAILCAPS,100052322
LKA,100113685
RETAILCAPS,100041603
CS OTHERS,156059283
RETAILCAPS,100050381
RETAILCAPS,100037445
RETAILCAPS,100045883
CS OTHERS,100083407
GKA,156058155
RETAILCAPS,100026083
WHOLESALES,156063638
LKA,156062335
GKA,100030597
RETAILCAPS,100039161
WHOLESALES,156052825
RETAILCAPS,100067110
RETAILCAPS,100082574
CS OTHERS,100112561
RETAILCAPS,100043039
WHOLESALES,100079999
GKA,156058001
RETAILCAPS,100087903
RETAILCAPS,100038631
GKA,100126529
RETAILCAPS,156062521
RETAILCAPS,100044544
GKA,100029390
RETAILCAPS,100066368
LKA,156064394
RETAILCAPS,100042072
CS OTHERS,100077660
LKA,156064390
RETAILCAPS,100039645
LKA,156056484
CS OTHERS,156065322
WHOLESALES,156052564
CS OXXO,156059193
GKA,156055578
RETAILCAPS,100039447
CS OTHERS,100034196
RETAILCAPS,100037180
WHOLESALES,100072517
RETAILCAPS,100099147
RETAILCAPS,100062970
RETAILCAPS,100063414
LKA,156056630
RETAILCAPS,100051146
LKA,156054670
WHOLESALES,156063448
RETAILCAPS,100069834
CS OTHERS,156060446
RETAILCAPS,100047936
RETAILCAPS,100061705
RETAILCAPS,100045624
RETAILCAPS,100062208
CS OTHERS,100113362
RETAILCAPS,100084846
WHOLESALES,100058607
GKA,156053439
LKA,156052592
CLUBES,156065250
RETAILCAPS,100056496
RETAILCAPS,PL5864V004
RETAILCAPS,100038544
RETAILCAPS,156100763
CS OTHERS,100072271
LKA,156063906
RETAILCAPS,100046970
LKA,156053480
GKA,156057925
CS OTHERS,156057023
RETAILCAPS,PL5909S015
RETAILCAPS,100065401
RETAILCAPS,100040898
RETAILCAPS,100058183
GKA,100027261
RETAILCAPS,100038520
WHOLESALES,156061163
CS OTHERS,156064301
RETAILCAPS,156054868
RETAILCAPS,PL5899S901
NEWCHANNEL,156053251
RETAILCAPS,100064970
CS OTHERS,156057383
WHOLESALES,100035834
LKA,100067608
CS OTHERS,156062705
CS OTHERS,100122708
RETAILCAPS,100065565
CS OTHERS,100074853
RETAILCAPS,156100442
GKA,100102550
WHOLESALES,156057311
CS OTHERS,100084034
CS OTHERS,156063783
RETAILCAPS,PL5911V013
NEWCHANNEL,156060400
GKA,156064213
RETAILCAPS,100044051
RETAILCAPS,100048595
RETAILCAPS,100043745
RETAILCAPS,100057604
WHOLESALES,156052789
GKA,100026805
RETAILCAPS,PL5916V016
RETAILCAPS,100057365
RETAILCAPS,156059424
CS OTHERS,156062007
RETAILCAPS,100061248
RETAILCAPS,PL5874S901
RETAILCAPS,100039150
CS OXXO,156059902
WHOLESALES,156061637
RETAILCAPS,100049911
LKA,100075029
CS OTHERS,156057041
CS OTHERS,100106352
WHOLESALES,156055198
GKA,156058222
RETAILCAPS,100051972
CS OTHERS,100041800
RETAILCAPS,100042161
RETAILCAPS,PL5862V020
CS OTHERS,100032993
RETAILCAPS,100060712
RETAILCAPS,100050983
GKA,100126085
RETAILCAPS,100061426
CS OTHERS,100070059
CS OTHERS,100035582
RETAILCAPS,100049010
CS OXXO,156061357
RETAILCAPS,100039816
RETAILCAPS,100047302
RETAILCAPS,100062791
RETAILCAPS,100049673
RETAILCAPS,100047269
RETAILCAPS,100063649
RETAILCAPS,156055448
RETAILCAPS,PL5877S903
CS OTHERS,100080988
CS OTHERS,156064332
WHOLESALES,156053469
RETAILCAPS,PL5901V024
CS OTHERS,100083888
RETAILCAPS,100049167
GKA,100026826
RETAILCAPS,100049243
RETAILCAPS,156066027
WHOLESALES,156054892
RETAILCAPS,PL5907S007
WHOLESALES,156056951
RETAILCAPS,100059243
RETAILCAPS,100055057
WHOLESALES,156060714
RETAILCAPS,100047843
WHOLESALES,156063882
RETAILCAPS,100050450
WHOLESALES,156056700
RETAILCAPS,100039307
WHOLESALES,156053473
WHOLESALES,156052068
RETAILCAPS,100066242
RETAILCAPS,100056497
RETAILCAPS,100044754
LKA,156052801
RETAILCAPS,100036614
GKA,100072939
GKA,156058223
RETAILCAPS,100044539
RETAILCAPS,100044104
GKA,156066634
RETAILCAPS,100054888
GKA,156057252
CS OXXO,156061453
RETAILCAPS,100035559
CS OTHERS,156064020
RETAILCAPS,100053270
RETAILCAPS,100046623
GKA,156057990
LKA,156066511
RETAILCAPS,100039840
RETAILCAPS,100039625
WHOLESALES,156061760
RETAILCAPS,100051934
RETAILCAPS,100030425
CS OTHERS,156058942
RETAILCAPS,PL5862V021
RETAILCAPS,100053726
WHOLESALES,156054321
RETAILCAPS,100059745
CS OTHERS,100089979
RETAILCAPS,100072898
RETAILCAPS,100057936
RETAILCAPS,156101042
CS OTHERS,100027874
RETAILCAPS,100034471
RETAILCAPS,PL5867S015
CS OTHERS,100032542
WHOLESALES,156060851
RETAILCAPS,100039106
WHOLESALES,156060802
RETAILCAPS,100049972
RETAILCAPS,100037946
RETAILCAPS,100061440
RETAILCAPS,100063915
GKA,156065747
CS OTHERS,100122770
WHOLESALES,156055192
CS OTHERS,100075481
LKA,156056608
CS OTHERS,100076067
RETAILCAPS,PL5891S011
LKA,156066710
RETAILCAPS,100050208
LKA,156054864
RETAILCAPS,PL5891S901
RETAILCAPS,156065997
WHOLESALES,156054571
RETAILCAPS,100050854
RETAILCAPS,100050721
RETAILCAPS,100037403
RETAILCAPS,100046149
RETAILCAPS,100052953
LKA,156055904
GKA,156058013
NEWCHANNEL,100031424
RETAILCAPS,156059520
RETAILCAPS,100063129
GKA,156055366
RETAILCAPS,PL5907V006
RETAILCAPS,156100733
RETAILCAPS,100045368
CS OTHERS,156063636
RETAILCAPS,156064663
WHOLESALES,156061614
CS OTHERS,156063485
RETAILCAPS,100037482
WHOLESALES,156053230
RETAILCAPS,PL5970V008
RETAILCAPS,100040487
RETAILCAPS,100044531
RETAILCAPS,100050419
CS OTHERS,100028004
WHOLESALES,156058691
RETAILCAPS,156059328
CS OXXO,156061322
RETAILCAPS,100065330
RETAILCAPS,100046954
RETAILCAPS,100057530
RETAILCAPS,100060715
RETAILCAPS,PL5894V010
GKA,156054849
RETAILCAPS,100043521
RETAILCAPS,100040000
RETAILCAPS,100039976
RETAILCAPS,100051564
RETAILCAPS,100039035
LKA,156052943
RETAILCAPS,100085901
RETAILCAPS,100061756
RETAILCAPS,100055914
RETAILCAPS,100043659
RETAILCAPS,100059278
RETAILCAPS,100059132
RETAILCAPS,100061208
RETAILCAPS,100073214
RETAILCAPS,100050124
WHOLESALES,156060837
GKA,156055439
RETAILCAPS,100051757
LKA,100098481
RETAILCAPS,100056562
RETAILCAPS,100044367
RETAILCAPS,100099121
CS OTHERS,156062726
RETAILCAPS,156062988
RETAILCAPS,100039994
CLUBES,156054318
RETAILCAPS,100049556
CS OXXO,156063960
RETAILCAPS,100047668
RETAILCAPS,156101205
RETAILCAPS,100046567
RETAILCAPS,100055898
RETAILCAPS,100040343
RETAILCAPS,100054162
GKA,156058017
RETAILCAPS,100054279
LKA,100119625
RETAILCAPS,100041507
RETAILCAPS,100063047
LKA,156064870
GKA,100026566
RETAILCAPS,156062994
RETAILCAPS,100048266
RETAILCAPS,100054368
GKA,156055417
RETAILCAPS,100059170
LKA,156060309
RETAILCAPS,100050905
RETAILCAPS,156064528
RETAILCAPS,100035113
CLUBES,156053288
RETAILCAPS,100046670
GKA,156055573
RETAILCAPS,100052959
RETAILCAPS,100037350
RETAILCAPS,100059147
RETAILCAPS,100051109
CS OXXO,156059187
CS OTHERS,100102329
WHOLESALES,156060976
CS OTHERS,100096778
LKA,156054528
CS OTHERS,100072855
WHOLESALES,156053727
RETAILCAPS,100048244
WHOLESALES,156053465
RETAILCAPS,PL5903S008
RETAILCAPS,100052983
CS OXXO,156060051
RETAILCAPS,100037421
GKA,156056034
CS OXXO,156061416
RETAILCAPS,100040441
CS OTHERS,156058922
RETAILCAPS,100109563
GKA,100113287
WHOLESALES,156058854
RETAILCAPS,100090949
NEWCHANNEL,156058440
RETAILCAPS,100039904
RETAILCAPS,100037164
GKA,100028689
RETAILCAPS,100066140
RETAILCAPS,100042176
RETAILCAPS,100046112
RETAILCAPS,100044724
RETAILCAPS,100062935
RETAILCAPS,100065175
CS OXXO,156059894
CS OTHERS,100109344
RETAILCAPS,100062021
RETAILCAPS,100051361
RETAILCAPS,100064350
RETAILCAPS,PL5915S006
RETAILCAPS,PL5897S004
WHOLESALES,156062469
CS OTHERS,100086241
RETAILCAPS,100047393
RETAILCAPS,100046622
RETAILCAPS,100063277
RETAILCAPS,156100144
LKA,100081543
RETAILCAPS,PL5901S024
CS OTHERS,156062595
RETAILCAPS,100044398
RETAILCAPS,100054372
RETAILCAPS,100057606
RETAILCAPS,100026305
RETAILCAPS,100039174
RETAILCAPS,100037957
RETAILCAPS,100039501
RETAILCAPS,100058748
RETAILCAPS,156101048
RETAILCAPS,100038008
LKA,156057336
LKA,156059587
RETAILCAPS,100038310
RETAILCAPS,100039215
RETAILCAPS,PL5887V903
RETAILCAPS,PL5894V903
WHOLESALES,156052234
WHOLESALES,100033732
RETAILCAPS,100051676
RETAILCAPS,100055571
WHOLESALES,156056298
RETAILCAPS,100039929
RETAILCAPS,100059330
WHOLESALES,156061787
RETAILCAPS,100050948
LKA,156056625
RETAILCAPS,PL5885V045
RETAILCAPS,100032801
RETAILCAPS,100059671
RETAILCAPS,100047631
CS OTHERS,100026883
RETAILCAPS,100056010
CS OTHERS,156060437
RETAILCAPS,100062910
RETAILCAPS,100044729
RETAILCAPS,100048627
RETAILCAPS,PL5889V011
RETAILCAPS,100066430
RETAILCAPS,100033213
RETAILCAPS,100054573
RETAILCAPS,100037590
WHOLESALES,156064010
RETAILCAPS,156063450
RETAILCAPS,100042427
WHOLESALES,100033496
CS OTHERS,100072102
CS OXXO,156060188
CS OTHERS,100045896
RETAILCAPS,100065783
RETAILCAPS,100064202
RETAILCAPS,100116553
CS OTHERS,156063200
CS OTHERS,156065128
NEWCHANNEL,156060403
RETAILCAPS,100043056
LKA,156062744
WHOLESALES,156061059
WHOLESALES,156063259
GKA,100041047
RETAILCAPS,156052430
P. SIGMA,100038966
RETAILCAPS,PL5904V007
RETAILCAPS,100057543
RETAILCAPS,100030078
RETAILCAPS,100033188
RETAILCAPS,100051176
GKA,100031605
GKA,100031137
RETAILCAPS,100057491
RETAILCAPS,100042099
RETAILCAPS,PL5900V006
RETAILCAPS,100038958
RETAILCAPS,100059945
RETAILCAPS,PL5869V022
WHOLESALES,156061698
CS OTHERS,156065007
RETAILCAPS,PL5896V009
RETAILCAPS,100050790
WHOLESALES,156062358
LKA,100024873
RETAILCAPS,156101234
GKA,100031608
GKA,100025776
RETAILCAPS,100043423
RETAILCAPS,156066123
CS OXXO,156059893
WHOLESALES,156063330
RETAILCAPS,156059370
RETAILCAPS,100039141
